Sex_I,Sex_M,Sex_F,Length,Diameter,Height,Weight,Age,Shucked Weight,Viscera Weight
0,0,1,1.425,1.1,0.3125,24.5223175,12.0,10.41844125,4.89028875
0,0,1,1.325,1.0125,0.375,25.2027055,8.0,11.49572225,6.44951125
1,0,0,0.7375,0.5375,0.1875,3.288542,8.0,1.0489315,0.83631025
1,0,0,1.375,1.0625,0.3875,24.73493875,10.0,11.679994,5.3013565
0,1,0,1.7375,1.325,0.525,42.807745,10.0,18.824068,11.60912025
1,0,0,1.35,1.0625,0.35,21.035329,9.0,9.07184,3.95475525
0,0,1,1.375,1.075,0.3125,26.1665885,8.0,11.43902325,4.9611625
0,0,1,1.5625,1.2375,0.4,31.51046925,11.0,12.74310025,8.00873375
1,0,0,1.5375,1.15,0.475,30.220567,13.0,12.28950825,6.406987
0,1,0,1.475,1.1625,0.3375,28.05183025,8.0,12.00601325,5.6415505
0,1,0,1.3125,1.0,0.325,23.51591025,11.0,6.81805475,5.17378375
1,0,0,1.225,0.9625,0.3,16.7545545,9.0,7.6827145,3.18931875
1,0,0,1.0625,0.8,0.25,8.66077225,7.0,3.572037,1.70097
1,0,0,0.8875,0.7,0.275,6.33611325,7.0,2.31048425,1.48834875
0,1,0,1.175,0.9375,0.325,14.8267885,8.0,6.066793,3.742134
0,0,1,1.4875,1.1625,0.375,27.78251,10.0,11.66581925,5.556502
0,1,0,1.55,1.2,0.4,30.51823675,13.0,11.679994,7.1724235
0,0,1,1.4875,1.15,0.4,26.1098895,9.0,11.35397475,5.74077375
1,0,0,0.9875,0.725,0.2375,8.618248,6.0,3.6003865,2.381358
0,1,0,1.575,1.225,0.475,33.38153625,11.0,13.99047825,9.53960675
0,1,0,1.4375,1.1125,0.3625,24.834162,10.0,10.75863525,4.57844425
0,1,0,0.675,0.4875,0.2,2.83495,6.0,1.09145575,0.55281525
0,0,1,1.25,0.9625,0.2625,14.118051,17.0,5.08873525,3.10427025
1,0,0,1.475,1.125,0.4,25.3161035,14.0,7.78193775,6.19436575
0,1,0,1.65,1.3375,0.475,45.08987975,9.0,18.21455375,8.4198015
1,0,0,0.975,0.75,0.225,7.144074,7.0,3.01922175,1.5025235
1,0,0,1.2125,1.0375,0.35,16.17338975,8.0,7.087375,3.798833
0,1,0,1.4875,1.225,0.4625,33.5941575,10.0,13.664459,5.71242425
0,1,0,0.6875,0.5125,0.175,2.664853,5.0,0.94970825,0.56699
1,0,0,1.175,0.9,0.325,14.81261375,9.0,5.613201,3.01922175
1,0,0,1.2625,0.9625,0.3125,16.896302,9.0,6.9456275,2.7499015
0,0,1,1.725,1.325,0.425,44.04094825,9.0,22.52367775,9.87980075
1,0,0,1.0625,0.7875,0.2,8.5898985,7.0,3.7137845,1.65844575
1,0,0,1.3875,1.15,0.3625,25.52872475,11.0,10.90038275,4.479221
0,0,1,1.5125,1.2,0.375,30.5891105,10.0,12.77144975,8.03708325
1,0,0,0.775,0.5875,0.225,3.6003865,6.0,1.360776,0.8788345
0,1,0,1.125,0.8375,0.35,13.11164375,14.0,4.649318,2.154562
1,0,0,1.325,1.05,0.3875,22.963095,10.0,13.39513875,3.1467945
1,0,0,0.825,0.6625,0.225,5.10291,6.0,1.927766,1.020582
1,0,0,1.25,0.9625,0.3875,21.602319,14.0,10.75863525,4.5642695
1,0,0,0.9625,0.6625,0.2,7.1157245,6.0,3.515338,1.0489315
0,0,1,1.525,1.2,0.475,36.72677725,12.0,14.78426425,9.14271375
0,1,0,1.3625,1.05,0.3625,22.055911,7.0,10.61688775,4.37999775
0,1,0,1.575,1.2125,0.4375,36.85435,23.0,12.28950825,8.34892775
1,0,0,0.8375,0.625,0.2,5.1879585,6.0,2.08368825,1.13398
0,1,0,1.425,1.0375,0.325,24.94756,13.0,12.11941125,5.54232725
0,1,0,1.525,1.2,0.4125,35.25260325,8.0,15.80484625,7.58349125
0,0,1,1.35,1.1,0.4,30.91512975,15.0,11.0846545,6.50621025
0,1,0,1.575,1.1625,0.375,29.1149365,8.0,15.2236815,5.329706
1,0,0,1.1125,0.825,0.275,10.149121,8.0,4.32329875,1.8994165
0,1,0,1.55,1.125,0.5,24.323871,8.0,12.14776075,4.32329875
0,0,1,1.7875,1.4125,0.45,50.745605,9.0,23.926978,10.02154825
1,0,0,1.075,0.8125,0.225,12.0485375,7.0,6.1518415,2.4664065
0,1,0,1.625,1.2125,0.4,49.31395525,10.0,16.20173925,7.89533575
1,0,0,1.3625,1.0875,0.3375,21.87163925,8.0,10.546014,4.195726
0,1,0,1.6,1.25,0.4375,36.0889135,13.0,14.35902175,8.29222875
0,1,0,1.6,1.2625,0.45,36.7693015,11.0,16.726205,8.85921875
1,0,0,1.525,1.1875,0.425,29.44095575,14.0,12.57300325,6.8322295
0,0,1,1.6125,1.3,0.475,37.15201975,12.0,16.44271,8.164656
0,1,0,1.525,1.2125,0.425,36.3157095,9.0,16.9246515,8.60407325
0,0,1,1.1,0.85,0.25,12.7856245,10.0,5.329706,2.4664065
0,0,1,1.0,0.75,0.2875,8.57572375,8.0,3.78465825,1.31825175
0,0,1,1.425,1.2375,0.4,30.94347925,14.0,12.813974,7.7961125
0,1,0,1.6625,1.25,0.4375,36.78347625,9.0,17.22232125,8.901743
0,1,0,1.7375,1.425,0.5,57.6345335,15.0,21.2904745,12.06271225
0,1,0,1.6125,1.2,0.375,33.792604,9.0,17.16562225,7.35669525
0,1,0,1.475,1.2,0.4,35.777069,9.0,16.11669075,7.72523875
0,1,0,1.7125,1.325,0.425,44.22522,11.0,18.3421265,10.8578585
0,0,1,1.6625,1.25,0.375,35.36600125,10.0,13.11164375,8.37727725
0,0,1,1.2875,1.05,0.3375,17.84601025,9.0,7.98038425,3.6003865
0,0,1,1.65,1.2625,0.4625,43.318036,11.0,19.561155,8.57572375
0,1,0,1.1625,0.9375,0.275,14.17475,8.0,5.953395,3.2034935
1,0,0,1.25,0.9625,0.375,17.76096175,10.0,7.38504475,4.72019175
0,0,1,1.425,1.1125,0.3875,28.8314415,10.0,14.92601175,5.74077375
1,0,0,1.125,0.8375,0.2375,9.93649975,7.0,4.57844425,1.77184375
1,0,0,0.95,0.7,0.2375,8.17883075,7.0,4.6776675,1.23320325
0,1,0,1.575,1.2,0.4625,34.302895,11.0,15.025235,7.24329725
1,0,0,1.3875,1.1375,0.425,23.91280325,15.0,8.7599955,5.40057975
0,1,0,1.4375,1.1,0.4625,29.0582375,10.0,14.38737125,6.36446275
1,0,0,0.4625,0.3375,0.1,0.7654365,5.0,0.29766975,0.15592225
0,1,0,1.1875,0.9375,0.3,15.9607685,10.0,7.15824875,3.41611475
0,0,1,1.675,1.3,0.4875,51.21337175,11.0,21.488921,10.58853825
1,0,0,1.1,0.875,0.3125,12.927372,8.0,5.953395,2.70737725
1,0,0,1.15,0.8875,0.275,12.360382,8.0,5.59902625,2.721552
0,0,1,1.6875,1.325,0.4375,41.00755175,10.0,19.20678625,9.355335
0,0,1,1.5,1.175,0.475,32.16250775,10.0,13.947954,7.35669525
0,0,1,1.75,1.4375,0.5,49.22890675,11.0,21.98503725,11.24057675
0,1,0,1.3375,1.05,0.3125,20.921931,8.0,10.0640725,5.37223025
0,1,0,1.025,0.7875,0.2375,8.674947,9.0,3.4302895,2.08368825
1,0,0,0.725,0.525,0.1625,2.7499015,6.0,1.06310625,0.623689
0,1,0,1.3125,1.05,0.3875,23.870279,9.0,12.133586,4.01145425
0,0,1,1.4875,1.075,0.525,43.21881275,11.0,18.5122235,11.226402
1,0,0,1.125,0.8375,0.275,11.89261525,7.0,5.1312595,2.4097075
1,0,0,0.9,0.6875,0.2125,5.59902625,9.0,2.11203775,1.17650425
0,1,0,1.4125,1.1375,0.375,27.76833525,8.0,12.587178,5.8116475
1,0,0,1.125,0.8875,0.2625,12.60135275,8.0,5.5848515,2.6365035
1,0,0,1.25,0.9375,0.3625,16.42853525,9.0,6.7755305,3.89805625
0,0,1,1.7375,1.4125,0.475,49.99434325,11.0,21.16290175,11.3114505
0,1,0,1.425,1.1125,0.4,28.76056775,10.0,14.628342,4.649318
0,1,0,1.65,1.2625,0.5,46.22385975,18.0,13.79203175,8.4198015
0,1,0,1.6,1.4625,0.4875,46.6916265,12.0,20.48251375,9.3836845
1,0,0,1.0875,0.8125,0.25,10.375917,7.0,4.932813,2.05533875
0,1,0,1.45,1.175,0.4125,26.2799865,11.0,9.11436425,5.62737575
0,0,1,1.5125,1.2125,0.4,34.0477495,9.0,11.8217415,8.15048125
0,0,1,1.625,1.3625,0.575,49.668324,16.0,15.88989475,8.20718025
0,1,0,1.575,1.25,0.4375,35.84794275,10.0,15.97494325,8.68912175
0,0,1,1.175,0.8875,0.45,12.5021295,8.0,4.32329875,3.30271675
0,0,1,1.55,1.1875,0.4,37.54891275,9.0,19.46193175,6.6054335
1,0,0,1.25,0.9625,0.275,16.896302,8.0,8.54737425,2.948348
1,0,0,0.775,0.5625,0.1875,4.3941725,6.0,1.8427175,1.0489315
0,0,1,1.5,1.15,0.3875,27.59823825,8.0,12.1052365,5.79747275
1,0,0,1.0375,0.8125,0.25,9.11436425,10.0,4.35164825,1.68679525
0,1,0,1.6375,1.475,0.5,43.81415225,11.0,18.540573,10.67358675
1,0,0,1.0,0.75,0.275,8.46232575,6.0,3.89805625,2.0128145
1,0,0,1.225,0.925,0.275,15.252031,8.0,7.6827145,2.93417325
0,1,0,1.1875,0.9625,0.3625,17.50581625,14.0,6.6621325,3.061746
0,0,1,1.3875,1.0625,0.35,22.339406,11.0,7.994559,4.52174525
0,0,1,1.5875,1.25,0.375,39.008912,10.0,18.41300025,10.2341695
1,0,0,1.0375,0.8375,0.25,10.149121,7.0,4.7910655,1.8994165
0,0,1,1.45,1.1375,0.3875,23.71435675,18.0,8.9300925,3.92640575
0,0,1,1.225,0.9,0.275,14.18892475,17.0,4.5642695,3.0333965
0,0,1,1.4,1.1125,0.3875,34.699788,10.0,15.77649675,9.14271375
0,0,1,1.5125,1.225,0.375,32.16250775,9.0,14.92601175,7.49844275
0,1,0,1.2375,1.0,0.3,18.72484475,15.0,7.38504475,4.5642695
1,0,0,1.45,1.175,0.375,25.7129965,11.0,12.587178,5.25883225
0,0,1,1.45,1.25,0.4125,26.2232875,10.0,10.489315,5.2446575
1,0,0,1.025,0.8125,0.25,11.169703,6.0,5.896696,1.85689225
1,0,0,1.025,0.7625,0.2375,7.44174375,6.0,2.83495,1.45999925
1,0,0,1.2,0.9,0.3125,15.365429,7.0,7.92368525,2.90582375
1,0,0,1.0875,0.8375,0.25,9.19941275,7.0,3.8271825,2.22543575
1,0,0,1.1,0.8875,0.4125,12.3320325,16.0,4.5075705,2.9766975
0,1,0,1.6,1.2625,0.4125,40.92250325,18.0,17.42076775,8.60407325
0,1,0,1.425,1.0875,0.325,21.36134825,10.0,9.8939755,4.97533725
0,1,0,1.75,1.45,0.5125,60.384435,20.0,21.02115425,13.891255
0,1,0,1.2375,0.95,0.3,13.437663,10.0,5.5848515,3.01922175
0,0,1,1.8375,1.5,0.55,72.4329725,11.0,32.13415825,12.47378
0,0,1,1.6875,1.3375,0.4,39.972795,16.0,16.782904,9.00096625
0,1,0,1.6,1.4125,0.575,43.1195895,15.0,18.257078,10.546014
0,1,0,1.45,1.1375,0.375,28.689694,10.0,14.13222575,5.99591925
0,0,1,1.6375,1.275,0.3875,36.55668025,11.0,15.15280775,8.09378225
1,0,0,0.825,0.625,0.1875,3.98310475,5.0,1.587572,0.9922325
1,0,0,1.1,0.8625,0.2875,15.4504775,6.0,7.6260155,3.1467945
0,1,0,1.575,1.2375,0.45,37.137845,10.0,14.0330025,8.3631025
0,1,0,0.95,0.675,0.2375,6.2085405,6.0,2.36718325,1.45999925
0,1,0,1.1125,0.8625,0.35,13.494362,15.0,5.82582225,2.87747425
1,0,0,0.675,0.475,0.2,2.2963095,6.0,0.75126175,0.55281525
0,1,0,1.65,1.2125,0.3875,34.79901125,8.0,17.293195,7.767763
0,0,1,1.8,1.4375,0.45,47.35783975,12.0,20.751834,10.21999475
0,1,0,1.7375,1.375,0.5125,61.6034635,10.0,32.1199835,13.22504175
0,0,1,1.0375,0.8125,0.2625,10.77281,12.0,4.52174525,2.22543575
0,0,1,1.5625,1.3,0.45,38.385223,11.0,13.73533275,9.9506745
1,0,0,0.6875,0.5,0.1875,2.438057,7.0,0.86465975,0.5386405
0,1,0,1.2625,0.9625,0.375,18.18620425,12.0,6.973977,4.309124
0,1,0,1.575,1.2625,0.4375,34.6147395,12.0,15.7339725,7.144074
1,0,0,1.0375,0.8125,0.275,8.958442,8.0,3.92640575,2.25378525
1,0,0,1.1875,1.05,0.4,20.11397025,8.0,9.922325,4.26659975
0,0,1,0.7625,0.575,0.2,4.422522,7.0,1.91359125,0.97805775
0,1,0,1.2875,0.9625,0.275,16.40018575,8.0,7.1724235,4.53592
0,1,0,1.825,1.4375,0.525,58.6551155,11.0,26.32251075,11.5949455
1,0,0,1.125,0.875,0.3125,13.53688625,6.0,6.33611325,2.5231055
1,0,0,0.8625,0.6875,0.2375,5.65572525,6.0,2.14038725,1.51669825
1,0,0,0.7,0.5125,0.1375,3.21766825,7.0,1.2757275,0.77961125
0,0,1,1.325,1.05,0.3375,19.1926115,9.0,7.27164675,4.01145425
0,1,0,1.5375,1.175,0.3625,29.15746075,11.0,12.57300325,8.00873375
1,0,0,1.0875,0.825,0.275,11.7083435,6.0,5.82582225,2.721552
0,1,0,1.5625,1.25,0.4625,35.22425375,10.0,16.99552525,7.030676
1,0,0,1.15,0.875,0.275,11.18387775,9.0,4.77689075,2.45223175
0,1,0,1.6375,1.325,0.4375,35.81959325,15.0,13.777857,7.47009325
1,0,0,1.2875,0.975,0.275,15.0535845,8.0,6.84640425,2.778251
1,0,0,1.0875,0.8125,0.2625,9.4970825,8.0,3.855532,1.8427175
0,1,0,1.65,1.3,0.475,44.168521,10.0,21.4038725,8.448151
1,0,0,1.1875,0.9125,0.2875,14.1464005,10.0,6.577084,2.50893075
1,0,0,0.925,0.675,0.225,5.25883225,7.0,1.984465,1.20485375
0,1,0,1.45,1.1375,0.325,24.153774,8.0,11.623295,4.89028875
0,0,1,1.3625,1.1125,0.375,22.6796,9.0,10.02154825,4.6209685
0,0,1,1.475,1.15,0.3625,28.08017975,8.0,12.8423235,6.25106475
0,1,0,1.4875,1.2,0.35,25.86891875,9.0,11.60912025,5.17378375
0,1,0,0.8875,0.6625,0.225,4.762716,8.0,1.417475,1.1623295
1,0,0,1.1875,0.9125,0.2875,13.891255,9.0,6.3219385,3.50116325
0,0,1,1.4875,1.15,0.3875,29.63940225,10.0,12.94154675,6.80388
1,0,0,0.925,0.7,0.2125,5.613201,5.0,2.28213475,1.28990225
0,0,1,1.425,1.125,0.3375,22.12678475,8.0,9.48290775,5.2446575
0,0,1,1.525,1.225,0.425,32.2333815,12.0,13.05494475,8.00873375
0,1,0,1.7375,1.45,0.5,53.84987525,13.0,19.1359125,13.551061
0,1,0,1.725,1.2875,0.45,52.29065275,13.0,27.82503425,13.19669225
0,0,1,1.1875,0.9125,0.325,13.62193475,12.0,5.40057975,3.231843
0,1,0,1.6375,1.3375,0.5125,46.62075275,13.0,20.70930975,10.19164525
0,0,1,1.525,1.2125,0.45,36.27318525,7.0,16.25843825,8.09378225
0,1,0,1.3875,1.125,0.4375,24.777463,10.0,9.28446125,5.726599
0,1,0,1.525,1.1875,0.4375,29.029888,9.0,11.5949455,7.3992195
1,0,0,1.0625,0.8625,0.3125,12.0485375,13.0,4.53592,2.25378525
1,0,0,1.075,0.8125,0.275,10.41844125,13.0,3.84135725,2.65067825
0,0,1,1.775,1.25,0.375,37.32211675,10.0,19.37688325,7.98038425
1,0,0,1.125,0.825,0.25,11.6516445,6.0,5.51397775,2.83495
0,1,0,1.1875,0.9875,0.3375,16.782904,13.0,6.98815175,4.66349275
1,0,0,1.4375,1.1375,0.4,28.05183025,9.0,14.0330025,5.5281525
1,0,0,0.825,0.6625,0.2125,5.556502,6.0,2.19708625,0.86465975
1,0,0,0.6875,0.5125,0.2,2.721552,6.0,1.020582,0.52446575
1,0,0,1.45,1.1,0.3625,22.41027975,10.0,9.99319875,4.66349275
1,0,0,0.9625,0.725,0.225,6.70465675,8.0,2.83495,1.43164975
0,1,0,1.5375,1.2,0.475,38.55532,18.0,15.03940975,6.73300625
0,1,0,1.475,1.125,0.3,21.21960075,14.0,9.48290775,3.72795925
0,0,1,1.0,0.8125,0.3,9.02931575,8.0,3.798833,1.60174675
1,0,0,1.175,0.8875,0.45,13.60776,8.0,5.82582225,2.9766975
0,0,1,1.7625,1.4,0.425,41.31939625,11.0,17.2081465,9.015141
0,1,0,1.225,0.9625,0.3125,17.2648455,8.0,8.68912175,2.721552
0,1,0,1.4,1.125,0.4,26.138239,15.0,12.246984,5.046211
0,0,1,1.1125,0.8875,0.375,13.7495075,11.0,5.1312595,3.5436875
0,0,1,1.6,1.2625,0.475,36.18813675,12.0,13.70698325,9.298636
1,0,0,1.2875,0.975,0.3125,16.17338975,8.0,6.747181,3.58621175
0,1,0,1.5125,1.1875,0.35,31.68056625,9.0,15.7339725,7.2858215
1,0,0,1.1125,0.775,0.225,9.525432,7.0,4.40834725,2.551455
1,0,0,0.35,0.2625,0.0875,0.396893,3.0,0.15592225,0.07087375
1,0,0,1.125,0.85,0.3125,11.46737275,8.0,4.8477645,1.984465
0,1,0,1.4,1.05,0.375,24.81998725,8.0,12.47378,5.57067675
1,0,0,1.2125,0.9375,0.35,14.7700895,8.0,5.6699,3.4869885
0,0,1,1.6875,1.3125,0.425,51.29842025,12.0,22.226008,11.0846545
1,0,0,0.9625,0.725,0.2375,8.845044,6.0,4.0539785,1.80019325
0,0,1,1.6375,1.1375,0.425,36.1456125,8.0,16.5277585,8.5898985
1,0,0,1.4125,1.1625,0.375,33.49493425,9.0,16.4710595,6.27941425
1,0,0,0.825,0.6,0.1875,4.6209685,6.0,2.11203775,0.9355335
0,1,0,1.4875,1.1375,0.3625,26.705229,11.0,12.190285,5.159609
0,1,0,1.425,1.1875,0.4875,29.18581025,18.0,13.13999325,5.40057975
1,0,0,1.1875,0.9375,0.2875,14.75591475,7.0,6.6054335,3.3735905
0,0,1,1.325,1.05,0.35,17.7751365,8.0,8.23552975,3.30271675
0,0,1,1.325,1.075,0.375,21.0069795,9.0,9.2135875,5.25883225
1,0,0,0.9375,0.75,0.1875,4.082328,7.0,1.6726205,0.850485
0,0,1,1.1375,0.9375,0.3125,12.984071,10.0,5.62737575,3.1467945
0,0,1,1.2125,0.925,0.2875,13.56523575,7.0,5.65572525,2.70737725
0,0,1,1.325,1.1375,0.4125,27.79668475,11.0,8.94426725,7.98038425
0,0,1,1.425,1.1625,0.3875,27.45649075,9.0,12.643877,7.3992195
0,1,0,1.5125,1.1625,0.4125,29.937072,13.0,11.94931425,7.01650125
0,0,1,1.4375,1.15,0.375,26.2799865,9.0,9.4403835,5.8683465
0,0,1,1.325,1.05,0.325,28.3778495,17.0,9.63883,6.406987
0,1,0,1.4875,1.15,0.425,32.02076025,10.0,16.159215,7.24329725
0,0,1,1.3625,0.9625,0.375,31.70891575,9.0,15.37960375,6.93145275
1,0,0,0.9,0.75,0.2125,7.654365,7.0,3.35941575,1.814368
0,1,0,1.45,1.15,0.375,29.7386255,10.0,14.75591475,5.48562825
0,0,1,1.3,1.025,0.3875,20.6100865,12.0,8.2497045,5.20213325
1,0,0,1.25,0.95,0.3125,14.7133905,8.0,7.04485075,3.21766825
1,0,0,0.85,0.65,0.2125,5.34388075,6.0,2.31048425,0.94970825
0,1,0,0.95,0.725,0.3,8.0229085,9.0,3.33106625,1.85689225
1,0,0,1.2,0.875,0.3375,15.49300175,8.0,7.75358825,2.82077525
1,0,0,1.25,0.975,0.3125,16.5277585,8.0,8.334753,3.742134
1,0,0,0.975,0.775,0.2625,7.55514175,8.0,3.35941575,1.48834875
0,1,0,1.4125,1.0375,0.3125,18.9091165,7.0,8.561549,4.37999775
0,0,1,1.6875,1.4125,0.4875,52.09220625,12.0,21.67319275,10.24834425
1,0,0,0.7375,0.55,0.1625,3.67126025,6.0,1.474174,0.793786
